,Nominee,Nominations,First,Last,Last - First,born,No,imdbID,ambiguous?,bday,bplace
329,Patricia Neal,2,1963,1968,5,1926,,623658,,1926-1-20,"Packard, Kentucky, USA"
114,Estelle Parsons,2,1967,1968,1,1927,,663820,,1927-11-20,"Marblehead, Massachusetts, USA"
171,Janet Leigh,1,1960,1960,0,1927,,1463,,1927-7-6,"Merced, California, USA"
344,Rachel Roberts,1,1963,1963,0,1927,,731499,,1927-9-20,"Llanelli, Carmarthenshire, Wales, UK"
352,Rosemary Harris,1,1994,1994,0,1927,,365281,,1927-9-19,"Ashby, Suffolk, England, UK"
15,Ann Blyth,1,1945,1945,0,1928,,1955,,1928-8-16,"Mount Kisco, New York, USA"
316,Nancy Olson,1,1950,1950,0,1928,,647970,,1928-7-14,"Milwaukee, Wisconsin, USA"
24,Anne Ramsey,1,1987,1987,0,1929,,1649,,1929-3-27,"Omaha, Nebraska, USA"
29,Audrey Hepburn,5,1953,1967,14,1929,,30,,1929-5-4,"Ixelles, Brussels, Belgium"
123,Fernanda Montenegro,1,1998,1998,0,1929,,5244,,1929-10-16,"Rio de Janeiro, Rio de Janeiro, Brazil"
143,Grace Kelly,2,1953,1954,1,1929,,38,,1929-11-12,"Philadelphia, Pennsylvania, USA"
176,Jean Simmons,2,1948,1969,21,1929,,1739,,1929-1-31,"Crouch Hill, London, England, UK"
195,Joan Plowright,1,1992,1992,0,1929,,687506,,1929-10-28,"Brigg, Lincolnshire, England, UK"
263,Maggie McNamara,1,1953,1953,0,1929,,573704,,1929-6-18,"New York City, New York, USA"
313,Miyoshi Umeki,1,1957,1957,0,1929,,880855,,1929-5-8,"Otaru, Hokkaido, Japan"
393,Terry Moore,1,1952,1952,0,1929,,601930,,1929-1-7,"Los Angeles, California, USA"
405,Vivien Merchant,1,1966,1966,0,1929,,681933,,1892-4-8,"Toronto, Ontario, Canada"
57,Carolyn Jones,1,1957,1957,0,1930,,427700,,1930-4-28,"Amarillo, Texas, USA"
128,Gena Rowlands,2,1974,1980,6,1930,,1687,,1930-6-19,"Madison, Wisconsin, USA"
196,Joanne Woodward,4,1957,1990,33,1930,,940946,,1930-2-27,"Thomasville, Georgia, USA"
22,Anne Bancroft,5,1962,1985,23,1931,,843,,1931-9-17,"The Bronx, New York City, New York, USA"
31,Barbara Barrie,1,1979,1979,0,1931,,57363,,1931-5-23,"Chicago, Illinois, USA"
59,Carroll Baker,1,1956,1956,0,1931,,4647,,1931-5-28,"Johnstown, Pennsylvania, USA"
159,Hope Lange,1,1957,1957,0,1931,,486136,,1933-11-28,"Redding Ridge, Connecticut, USA"
242,Leslie Caron,2,1953,1963,10,1931,,1989,,1931-7-1,"Boulogne-Billancourt, Seine [now Hauts-de-Seine], France"
321,Nina Foch,1,1954,1954,0,1931,,1225,,1924-4-20,"Leiden, Zuid-Holland, Netherlands"
