,script_id,imdb_id,title,year,gross,lines_data,female,male,movie,total,female_per,male_per
970,2933,tt0117060,Mission: Impossible,1996,356.0,634554677774645755765777777775443475434443647567736777777666657777775447346555564477545347357777644756566667777777644436734344454666675477777767566677777644653655556545772,2844,13346,,16190,0.1756639901173564,0.8243360098826437
971,2935,tt0120755,Mission: Impossible II,2000,347.0,7777753343444344334577777777424345446574576564777444674457665456457744766777777777777777536765777777777777777774577777433435334443346777777773243544475646755657764456645576644654677357577777777777777774377567777777777777777741,3346,17418,,20764,0.1611442881911,0.8388557118089001
972,5442,tt2349144,Mississippi Grind,2015,,467466667777777775577777777777777742334147777777777643267437344334433227777777765777743643436645677654677777777777753277474773,1450,7506,,8956,0.16190263510495756,0.8380973648950424
973,5443,tt2872462,Mistress America,2015,2.0,0000000243341100000000000000224200000012000000000000000131000102001410000103102344343224234313522323233443444323231320000001210022000000,9729,1740,,11469,0.8482866858488098,0.15171331415119016
974,7697,tt0082763,Modern Problems,1981,,7547423456443656377577434434431425353463125244725500010335,2594,3136,,5730,0.4527050610820244,0.5472949389179755
975,9015,tt1210166,Moneyball,2011,82.0,7326674344777775677777777777777777777777777777777777776776775467777777774777777754546777777777777777777777777777777777777777767545777767364777777777775,511,13269,,13780,0.03708272859216256,0.9629172714078374
976,1166,tt0166276,Monkeybone,2001,8.0,75677363640002247556767266577777777330245575773042444235442544,1667,4418,,6085,0.2739523418241578,0.7260476581758423
977,6050,tt0385880,Monster House,2006,97.0,66575777776346555467700035452364664255254443575564655455354665667767675756764543,2086,4218,,6304,0.3309010152284264,0.6690989847715736
978,2944,tt0285742,Monster's Ball,2001,48.0,4357775557766546776753676467553245777734477635744643522577776514544147556754542,889,2668,,3557,0.24992971605285352,0.7500702839471465
979,9017,tt1453405,Monsters University,2013,286.0,3554755776277777777777777777777753234547657777775777525765777756777477774777776777775467677565766566636777726477576776775373,877,5733,,6610,0.13267776096822995,0.8673222390317701
980,7991,tt0198781,"Monsters, Inc.",2001,445.0,07777777753677677577777775744576677777777777777777746776767766777775777777757773677777777777777647655,399,10184,,10583,0.03770197486535009,0.9622980251346499
981,2945,tt1067774,Monte Carlo,2011,25.0,0200002433001030000010011000410000310004330004333303223065334412100023032201100000015132424433000000000102124020130001242423235444220023514320,13256,3772,,17028,0.778482499412732,0.22151750058726802
982,2946,tt1182345,Moon,2009,5.0,7777777776067777777677777777466677777777732777777767777777747660,262,5110,,5372,0.04877140729709605,0.9512285927029039
983,2947,tt1748122,Moonrise Kingdom,2012,49.0,777777477777562464445544441466544455754356754543442642533440477775466443776656777775777754354546445675,2347,5970,,8317,0.2821930984730071,0.7178069015269929
984,2949,tt0093565,Moonstruck,1987,179.0,15446754345554332334434344035430240315434344343434334356153443434331103342640346444444233433443434334343474300235432246544436236456653354653332334434342245401321253443344343433434462353443433420123334522445355343333434343433344343654100444422445553535,8632,10068,,18700,0.4616042780748663,0.5383957219251337
985,7332,tt3045616,Mortdecai,2015,7.0,7547777634777777463436777331677777777777654577773575655576555477755555465543535477775653,1583,7576,,9159,0.17283546238672345,0.8271645376132766
986,8218,tt0087747,Moscow on the Hudson,1984,64.0,67777666755377447727777775544777657477555655644476557734656777777757773,910,5038,,5948,0.15299260255548083,0.8470073974445191
987,8604,tt0081184,Motel Hell,1980,,522234523341354246441134212557633,1787,2029,,3816,0.46829140461215935,0.5317085953878407
988,4647,tt1121977,Mother and Child,2009,1.0,3323100130051022443444200301000012002643324310000000000000232000024502000513300000410000000000003300000521012,8093,1556,,9649,0.8387397657788371,0.1612602342211628
989,9021,tt0356910,Mr. & Mrs. Smith,2005,252.0,4443373245125561134755464443344344012545,2104,2734,,4838,0.4348904505994213,0.5651095494005788
990,2952,tt0040613,Mr. Blandings Builds His Dream House,1948,,443443433343133457676542757644667634344766656675756676544667454534477553543556657666777667567577555554247777774342334433334444344545457645535744664254334434333340425676764437576346775343457656657667476756355773644336775354436476567667775765775774645632577,7884,21358,,29242,0.26961220162779564,0.7303877983722044
991,1169,tt0780571,Mr. Brooks,2007,36.0,7535557777777777444436777742572244434777777737777777777443463547777777553777765777767776634677577777346777777777777762,1479,8649,,10128,0.14603080568720378,0.8539691943127962
992,2954,tt0027996,Mr. Deeds Goes to Town,1936,,777776324766777566776677636777777777777777777777777554466677767753457777777755353376334343452130067733342434454435377777646777777777754675444447423424777723367777623577756777773237676775667766776457777777777777777777777775545566777677543577777777644533664,5872,26508,,32380,0.1813465101914762,0.8186534898085238
